response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_3Pntu1ocvaXxAON	Very Low	1	NA	Very Low	Insignificant	frustration	NA	NA	Insignificant	NA	other	15
R_1DTQz85ICC3MW9k	Very Low	NA	NA	Very Low	Minor	frustration	NA	NA	Moderate	frustration	other	9
R_DzXT4qsbkrvDVDP	Low	none that I know of	NA	Very Low	Insignificant	none	none	NA	Insignificant	none	neurophysiology and physiological psychology	30
R_2uHSLuGwWn8PInP	Very Low	Data loss to to glitch in programme or related technical failure.	Failure in software/technical equipment.	Very Low	Minor	time loss	NA	NA	NA	NA	applied psychology	20
R_POu1cEcaePOzhkt	Very Low	Wrong coding	Accident	Very Low	Minor	time loss	NA	NA	NA	NA	neurophysiology and physiological psychology	12
R_1LifDMLl5WpopDp	Moderate	NA	NA	Low	Minor	frustration	NA	NA	Minor	frustration	other	8
R_2rBzqM7U57tGlVk	Low	Non-informative names of variables	Poor choice of names of variables	Moderate	Minor	hard to replicate findings by othe researchers	Forgot to mention something really important in the experimental instructions	I guess each co-author trusted to much the others to have carefully re-read the instructions.	Major	financial loss	other	13
R_240mxsPP2K7qvrD	Low	I remember only a single one, but this happened in the context of a study published in Science: we accidentally had copied all data, thus doubling each data point.	A silly mistake.	Low	Minor	frustration	see above	see above	Minor	frustration	other	30
R_1GWgjyjQjIpBIew	Low	often the data collection is handled by students, as part of their curriculum. In my experience many data mistakes are made here, for example wrong numbering of subjects (e.g., duplicate); parts of data that are missing for unknown reasons, etc.  I only discover this once the data set is handled over to me (as supervisor) when I want to use the data for publication.	Sloppiness	Low	Minor	frustration	maybe unrelated, but a PhD of mine student collected way too much data on elderly participants. We could have known that we would be unable to analyze it all, so a big data set got collected but nobody had time to analyze and report it.  the impact was unnecessary use of resources (expensive recording equipment) and time / burden for the participants.	being too ambitious	Moderate	time loss	experimental and cognitive psychology	25
R_AEvIrQSSmJP5wFb	Low	incompleteness of data introduction	not enough punctuality	Low	Moderate	time loss	we had to repeat introduction of the data in the database starting again from the raw data because no double was stored and a PC was stolen	no systematic back-up, this has now been adjusted (systematic back-ups are made, and no data management on PC any more, only on central servers)	Moderate	time loss	other	10
R_2dLSHG3yGKzKecQ	Very Low	When video-taping team interactions, a video camera malfunctioned and only a subset of the sample was recored.	Lack of communication and attention to detail.	Very Low	Minor	frustration	I am not aware of any.	NA	NA	NA	applied psychology	18
R_2e295rrs3RwuezQ	Low	Maybe data merging mistake, but I have no concrete examples as we always double check immediately afterwards, so this mistake does not last longer than a minute.	NA	Very Low	Insignificant	frustration	1 participant out of 300 was MRI-scanned under a different number, and therefore not correctly linked to questionnaires (it was 2 instead of 1 subject). This kept recurring in multiple analyses as nobody was allowed to change the raw MRI data files.	human error	Insignificant	frustration	neurophysiology and physiological psychology	8
R_2dvcIJA7IFmsu14	Low	Copy-and-paste errors where statistics are copied across incorrectly from R into whatever the paper is being written in.	Separating out stats from the paper. However, I have tried to use e.g. swerve to write papers mixing R and latex and just ground to a halt in an unresolvable tangle of latex and R errors.	Low	Minor	frustration	I don't know if it counts as a data-related mistake, but we've had to re-run entire studies due to errors in experimental randomisation, e.g. not randomising something we thought we were randomising, or making a mistake in a complex randomisation.	Complexity of the experimental set-up and insufficient checks prior to running.	Major	time loss	other	15
R_1UeEmajLZ4T4TwR	Moderate	Overwriting data, copying only half the data, defining the variable incorrectly	Too many people involved in one project. Not enough transparency	Low	Moderate	financial loss	overwriting data	different people programming the same experiment	Moderate	financial loss	experimental and cognitive psychology	4
R_2bN2CmBCvy0RUPJ	Low	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	'- wrong code/syntax	Very Low	Moderate	erroneous conclusion	'- wrong merging/connecting of data from different parts of the study (e.g., studies with several waves)	'- wrong code/syntax	Moderate	erroneous conclusion	applied psychology	6
R_2eQCIvKgmCxnQis	Very Low	Conducted data analysis on an outdated dataset	The need to frequent update of the datasets	Low	Minor	time loss	Erroneously omit a page of questionnaire in data collection	Human error and carelessness	Major	frustration	methodology and statistics	10
R_1fd7fjBC84Nf1XI	Very Low	Computers crashing without a data base backup (twice). software programs with bugs.	lack of double checking routines	Low	Minor	time loss	computer crashing without a dataset backup	No double check routine	Minor	time loss	other	20
R_77kUEfBZkO5ZyOl	Low	We've had programming errors in surveys. An item appeared twice, a randomization element failed, etc.	User error. We check, double check, and triple check our programs, but errors sometimes sneak through.	Low	Moderate	frustration	We had separate survey versions for men and women. We left a question off of the women's survey, so we were not able to test the hypothesis for women.	Programming error.	Moderate	frustration	social psychology	14
R_cBI2DIvDQbW5cDD	Moderate	NA	NA	Very Low	Insignificant	erroneous conclusion	NA	NA	Minor	erroneous conclusion	clinical psychology	2
R_1K8Ralb7H385hcB	Low	Security issues (e.g., sharing confidential information via email, instead of anonymizing participants)	Not following a pipeline of actions to take from data acquisition to data sharing.	High	Extreme	We jeopardized participants' data (psycological background, personal information, health information, etc.)	The one mentioned above.	See above.	Minor	See above	neurophysiology and physiological psychology	7
R_2U5GjHtbKZYkmMX	Low	Forgetting to anonymize the data.	Lack of time / attention	Low	Insignificant	temporary publication of online data with identifiers	Not aligning the participant numbers well between two data-sets from one study.	Data from one set was not ordered in the same way as in the other data set	Minor	time loss	experimental and cognitive psychology	12
R_2thgLa4jntEMBiq	Moderate	uninformative variable names, insufficient documentation of data treatment (e.g., what items were collapsed into a scale, what were the alphas or the FA justification), mistakes in combining datasets.	low organizational skills, lack of foresight, inadequate data management training, distractions during work	Moderate	Minor	time loss and frustration, some financial loss	all of the above mentioned mistakes	specified above.	Minor	frustration and time loss	personality psychology	9
R_3sv4uN3gphG6Pxv	Low	NA	NA	Low	Moderate	NA	NA	NA	NA	NA	social psychology	10
R_CZELpbmkR2H9uz7	Moderate	difficult to decipher variable names	Failure to instruct students	High	Minor	frustration	Documentation failure of fMRI designs	communication between students and expert	Moderate	time loss	experimental and cognitive psychology	45
R_p0BJ8JCn92K9IaJ	Low	The design of a study was compromised by unintentional random allocation of pupils to conditions. The mistake was picked up, and the study re-analysed	My research assistant did not realise that Excel re-calculated the random number used to assign pupils to conditions every time the spreadsheet was updated	Very Low	Moderate	time loss	AS above	NA	NA	NA	applied psychology	50
R_2rZ2DTpbcWFIEhG	Low	mislabelling, less documentation	postponing the arrangements and documentation	Low	Insignificant	time loss	NA	NA	Insignificant	time loss	experimental and cognitive psychology	5
R_uyQjDVLfMF1DjEJ	Moderate	outliers being crept in without meticulous care to spot them. In this case, I had spotted them and could make the correction, but it was a potential source of error had someone not noticed.	NA	Moderate	Minor	time loss	Losing data just like yourself and not being able to generate them again	relocation of practice and archives not being found	Moderate	frustration	clinical psychology	40
R_1mVqGcXzn9RTmbh	Low	Working on the wrong data file.	Original data file mistakenly overwritten after some explorative data transformation	Low	Major	erroneous conclusion	NA	NA	NA	NA	methodology and statistics	28
R_ZJATnXkWyr4rKWl	Very Low	NA	NA	Very Low	NA	NA	NA	NA	NA	NA	social psychology	13
R_2bOijjUlRMWYs2t	Low	Original file overwritten.	Not paying attention	Very Low	Minor	time loss	After anonymization, a file still mentioned names of patients	Mistakes by data supplier in anonymization process	Moderate	data leakage	methodology and statistics	22
R_xf1mZKJUgYbss6J	Low	NA	NA	Very Low	Insignificant	frustration	NA	NA	Minor	frustration	other	35
R_Ub6KK5sJLnRBQBj	Low	We only realized after publication that we had been working on the wrong version of a dataset, This was reported and new results published, Systematic revision of the databases before writing definitive paper some mistakes in occasions	Mistakes happens when only one data-manager construct the database. All datasets need  revision by another data-manager/researcher	Low	Moderate	time loss	After publication we realize the denominator in our risk measurements included a large sample of individuals who did not belong to the study sample. Fortunately the inclusion oh those extra individuals was not related to the exposure outcome	The data-manager was not carefull	Moderate	time loss	other	20
R_sbMzGYvocQNch7X	Low	Filtering of data. For example, in reaction time experiments when you have to remove outliers.	"The prob,em (often) is the multiple versions of analysis scripts. The very famous sequence ""analysis_script.r"", ""analysis_script2.r"", ""new_analysis_script2.r"". etc."	Low	Minor	imprecise results	Fortunately, I don't remember anything serious (i.e., something that changes the interpretation of the results).	Multiple veriSee abovons of the analysis script. See above.	Minor	see above	experimental and cognitive psychology	15
R_SCp4SDJW7H7SgNz	Very Low	We had study design errors, but not data management errors. In any case, when there are errors we simply drop the dataset and re-run the study to collect new data. In case of secondary data, we go back to the raw data file and start over.	Poorly design studies, e.g. lack of a proper manipulation check	Very Low	Minor	time loss	already did that above	NA	NA	NA	other	15
R_3MJUSLr2OcEQ11l	Low	NA	NA	Low	Minor	NA	NA	NA	Minor	NA	neurophysiology and physiological psychology	30
R_2fg0p9dQFeyFqr6	Very Low	Database partly overwritten	Human error	Very Low	Minor	time loss	Privacy breach	Carelessness on the part of graduathe student	Major	Significant legal consequences - just avoided	social psychology	24
R_qJFDhrxLT2tTZ5v	Low	non acurate records not proper baseline evaluation	inexperience	Low	Minor	time loss	technical drawback inproper data collection	lack of time  inexperience	Minor	frustration	neurophysiology and physiological psychology	25
R_p3M2Ir2HhdW3gTD	Low	not informative enough variable name	I treated studies as separated and did not think that i will like in the future to combine the data	Moderate	Moderate	time loss	NA	NA	NA	NA	applied psychology	16
R_1rqy1rVzOKTinKa	Low	Errors of sample labeling, by graduate students and field assistants responsible for writing identifying information on tissue samples collected in the field.	Inability to closely supervise all research participants (despite clear initial training)	Low	Minor	frustration	To my knowledge, the above-described error is the most serious that has occurred.	See above.	Minor	frustration	other	19
R_3IT6ZXx2MztRRGc	Very Low	Sub-optimal treatment of missing data.	Software error (a self devised program)	Very Low	Minor	time loss	See above	Erroneous reasoning	Minor	time loss	clinical psychology	44
R_cYFPvH5xI8jDLOh	Very Low	I do not recall any data-related mistake in the last 5 years; about 8 years ago, we made a mistake of not collecting any identification information from the subjects and had to report the data as a whole without being able to make meaningful comparisons	We were rushed at that time to coordinate our data collection with the university examination schedule	Very Low	Minor	less meaningful results	There was no other data-related mistake that happened in our lab in the last 5 years	NA	NA	NA	developmental and educational psychology	23
R_11gukLDI1B8MFre	Very Low	Subject ID was incorrectly typed from one data file to a second file.	Human error.	Very Low	Insignificant	none	See above (the ID issue).	Human error.	Insignificant	frustration	clinical psychology	30
R_1d4iz3m2nqcDwm0	Low	Incorrect data entries	human error	Low	Minor	time loss	incorrect data entry	human error	Minor	time loss	other	20
R_e5USP07muEESOKB	Very Low	Students miscoded variables when creating constructs.	Lack of training.	Low	Minor	NA	Wrote in an article that a variable was coded 0/1 when it was actually 1/2 so the mean of 1.4 didn’t make sense.	Oversight.	Insignificant	frustration	other	11
R_2rwGx3tHGSfKZmT	Moderate	Incorrectly entered questionnaire data into spreadsheets or Misaligned rows in spreadsheets;	Human error and insufficient verification of dataset	Moderate	Moderate	erroneous conclusion	See above	See above	Moderate	erroneous conclusion	developmental and educational psychology	13
R_2wMmMiikRn9F6qX	Very High	coding errors during data processing/analysis (e.g., not updating variables, wrong loops. etc.)	human error in combination with sharing codes and using packages with bugs	Very High	Minor	erroneous conclusion	Subject ID coding inconsistencies, incompleteness, or translation errors	we work with hardware IDs, software IDs, and paper-pencil IDs and they are not automatically the same (plus different people are working on different aspects of data).	Minor	not able to run certain analyses	experimental and cognitive psychology	12
R_1Or7tDijbW5NQ1e	Very Low	Using non-current database	Lack of attention	Very Low	Minor	time loss	Using non-current database	Lack of attention	Minor	time loss	personality psychology	20
R_23f99S8tbBeZcmr	Low	Lost connection file between participant gender and synonyms	Moved labs and questionnaire file was on a computer without internet connection	Very Low	Minor	time loss	NA	NA	NA	NA	experimental and cognitive psychology	10
R_1kMINu0tVdNVrjQ	Low	The most common error is tracking down versions data files, ensuring that the most up-to-date file is being analyzed or shared.	The most common cause is spreading files across multiple computers and/or institutions.	Low	Moderate	frustration	Same as above.	Same as above.	Moderate	frustration	other	14
R_1dzgIml0qeTOy3z	Low	NA	NA	Low	Insignificant	NA	NA	NA	Insignificant	NA	methodology and statistics	20
R_2dT8e8Ru3SR801H	Low	NA	Rely on one person without double checking When we do not check descriptives before moving on	Low	Minor	time loss	NA	NA	NA	NA	developmental and educational psychology	10
R_1EZ15sr0mldmdJS	Low	"Coding in online survey system that was created by a market research firm was unclear.  For example, 0 zero times was coded as ""1"" and 1 time was coded as ""2"".  Who does that???"	NA	Low	Minor	frustration	Lost data from a participant in a longitudinal study	No idea; we were unable to figure out whether the data were never recorded or what	Moderate	time loss	clinical psychology	30
R_2XbwfGL9OmGNpNx	Low	NA	NA	NA	Minor	time loss	NA	NA	NA	NA	clinical psychology	11
R_1oi2EOZ5uJxYlCL	Very Low	Cooperating researches use different versions of the same data-set	Corrections of input errors lead to different versions of the data set. Researches not always updated their data	Low	Minor	time loss	Luckily we did not experience any really serious mistakt	NA	Insignificant	NA	other	30
R_2xKa98jPFbLuzjs	Low	Risk of losing video data	Problem with external disk where the data were saved	Low	Major	frustration	NA	NA	NA	NA	other	10
R_cuv0b8aL16OZV5f	Low	vague variable names/labels leading to difficulty with later use of the data for secondary projects	numerous different people organizing the data without a guiding framework	Low	Minor	time loss	I'm new to a team led by another researcher. This team used the wrong consent version with an older project, discovered three years ago, leading to about half of the data being lost (i.e., taken by the IRB).	Poorly organized lab head.	Major	data loss	clinical psychology	7
R_0rFImCR89hEJax3	Very Low	NA	NA	Very Low	Insignificant	frustration	NA	NA	Insignificant	frustration	social psychology	20
R_1gi7in2zvTaVHpj	Very Low	can't recall any examples	NA	Very Low	Insignificant	NR	NA	NA	NA	NA	clinical psychology	34
R_12tYv2Y5nec53EF	Very Low	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	Low	Minor	time loss	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	Moderate	time loss	experimental and cognitive psychology	6
R_Oa2svKJHachQHnP	Moderate	1. When raw data such as questionnaires are changed  into electronic data,    the procedure often makes mistakes. 2. Compute data in SPSS sometime make mistakes.	Carelessness, or traits of the person who input the data	High	Moderate	frustration	In 2017, during the second revision  of my manuscript submitted to  Psychological Assessment,  my coauthor found the interview data have mistakes. So we corrected the wrong values of the results in the second revision. This made me very frustrated. I  felt extremely sad and lost face though the whole picture of the results were not change.	careless  work of a graduate student during selection of participants from  one data to another data.	Moderate	time loss	clinical psychology	15
R_3iqkqyCtuHBhFsN	Low	errors in the data set (variable label, incorrect formula, data entry...)	working under tight deadlines, multiple users of the dataset	Moderate	Minor	time loss	error in the data set for some observation due to a wrong formula	multiple users and copy/paste errors	Minor	time loss	developmental and educational psychology	16
R_2PnFe0m2znDlqh0	Low	Variable names or labels are too vague requiring the researcher to reconstruct then from the raw data.	Laziness, not keeping adequate notes, being too busy or distracted.	Low	Minor	time loss	Raw data (audio records) were corrupted before entry and the data were lost.	Technology failure	Moderate	Time loss and frustration and financial loss (why do I have to pick only one?)	applied psychology	15
R_2SeF9B5dnR5QZ1N	Low	Miscopying of data from a spreadsheet to a statistical package	Students not realizing that there are automated ways to transfer data between applications	Low	Minor	time loss	Using the same participant number for more than one individual	Not enough coordination among experimenters	Moderate	time loss	experimental and cognitive psychology	30
R_2PchCq8UnKbYzmr	Low	NA	NA	Low	Minor	time loss	NA	NA	NA	NA	neurophysiology and physiological psychology	10
R_Bybv9JqSnv0Hern	Very Low	NA	NA	Very Low	Minor	time loss	NA	NA	Insignificant	time loss	clinical psychology	10
R_2xWedLepVORUb2s	Very Low	Variable names that are not informative.	Memory loss	Moderate	Minor	time loss and frustration	Software failure leading to data collection loss.	Software failure (company tanked - no support)	Moderate	Time loss and frustration	clinical psychology	29
R_1ditQMNo8bzXokM	Low	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	Low	Minor	time loss	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	Insignificant	time loss	applied psychology	17
R_2E6UbxqHIZGHdcc	Low	Software error	Malfunctions	Low	Minor	time loss	Computer malfunctions	Technical causes	Minor	time loss	other	3
R_1dLyeBiPezAXaav	Low	Computer generated data contained bad data because of programming error.	Failure to check the programming code sufficiently	Low	Moderate	time loss	Had to rerun analyses because the generated data were incorrect (Monte Carlo studies).	Programming errors.	Moderate	time loss	applied psychology	30
R_3Eo3YsFvO2vplXR	Low	occasionally cannot locate original data notes from time when observations were made	multiple users sharing files of notes, and not refiling notes properly after use	Low	Minor	time loss	could not locate original some data sheets from extensive data file; missing sheets represented small portion of data, and data could be re-obtained from archived material, but at cost of staff time	multiple users sharing extensive data files, and not properly refiling data after use	Minor	time loss	neurophysiology and physiological psychology	48
R_2roxxflIoGavKkS	Moderate	Not really as I'm not the person doing the data management and often am not even the person talking to the data managers.	N/A	Moderate	Insignificant	I don't know	No, I couldn't.	Don't know	Moderate	I don't know	methodology and statistics	35
R_XR4vuDYVTZUdDxf	Low	Overwriting of measured variables Loss of datasets due to storage mistakes	Wrong subject ids lead to overwriting Copying/storage errors lead to data loss	Very Low	Minor	time loss	Loss of participant descriptive data	Storage of paper materials in an old room where no one expected those documents to be	Minor	time loss	experimental and cognitive psychology	13
R_2Ejl6F6HzHMaous	Very Low	We forgot to include several important questions and had to start the project over!	Simply not paying attention to details and being in a rush.	Very Low	Minor	frustration	Data coding errors.	Simple clerical mistakes that we found and corrected because we double-check every entered number for our data.	Insignificant	none	personality psychology	17
R_2coTxGpiZoEAjV9	Low	Errors in the configuration of parameters in simulations where different parameter values are evaluated.	The big amount of parameters to handle, in recurring simulations	Low	Minor	time loss	We were running a batch of many simulations, using a specified controller, just to discover that some strange outcomes were due to error in parameter configurations.	The controller had wrong parameters set up.	Minor	time loss	other	20
R_3gYp4TFBsLfhLvH	Low	Clarity on labeling variables in SPSS; ease with which you can return to and re-analyze dataset.	lack of forethought.	Low	Minor	frustration	not sure (how) this is different from the first question	see above	Insignificant	NA	neurophysiology and physiological psychology	25
R_1obR2FYKvFuxCjp	Very Low	I do not carry out this type of research normally, so such mistakes are rather uncommon.	Does not apply.	Very Low	Minor	NA	I can't recall any really serious ones.	None	Minor	frustration	other	18
R_3hhX5mXtAv6AIHA	Low	Included data for entities that should have been excluded; had to rerun analysis.	Human error.  No matter how automated an analysis is, at some point a person has to write the code or manipulate the data and make choices, and sometimes things get overlooked.	Low	Minor	time loss	same as above	NA	Minor	time loss	other	8
R_2uQIn0onTQYseK1	Low	Not to meet dealines	Intellectual lasiness	Low	Moderate	time loss	Not to meet dealines	Intellectual laziness	Moderate	time loss	developmental and educational psychology	35
R_2OTKjDgl6AvVwvh	Very Low	Run analyses on old version of a dataset, but corrected it for the paper	Different versions of the dataset were saved in different folders	Very Low	Minor	time loss	See above	See above	Minor	time loss	experimental and cognitive psychology	7
R_2U4pgn1GCmJuGaU	Low	uninformative data labeling	Lack of my attention to the details of my students' research	Low	Minor	time loss	mislabeled data	insufficient attention by myself	Minor	time loss	developmental and educational psychology	19
R_3qlduMb6TmuzWVI	Very Low	NA	NA	Very Low	Insignificant	NA	NA	NA	Insignificant	NA	applied psychology	50
R_2cth4XQgNMWuwGv	Moderate	Incorrect transcription of data from EMR to spreadsheet.	Human error.	High	Minor	time loss	Transmigration of data from one spreadsheet to another producing offset of data so data points were not associated with correct patients. This was identified and corrected.	Unclear.	Moderate	time loss	methodology and statistics	15
R_27BdmSNc3E6ZlFf	Low	Entry error when moving data from paper format to digital format. We are not 100% digital with entry logs with back-checks. Moreover, no data are intermediately saved. All analyses are done on raw data that are never changed.	Human error.	Very Low	Minor	time loss	All data was shifted in the column assigning condition meaning that all results (zero effects) where wrong. Our assigned Devils advocate noticed it the day before submission. The PhD student had to go back to the drawing table.	Human error.	Minor	erroneous conclusion	experimental and cognitive psychology	17
R_1o0l1vb0QVWOutj	Low	Mistake in programming of an experiment, so that not all conditions were presented to all subjects.	Simple mental error in coding.	Very Low	Moderate	time loss	The one I just mentioned.	See above.	Moderate	time loss	experimental and cognitive psychology	16
R_1K7lVatqDC1d3dz	Low	data loss due to storage error	hick-up with equipment/device-user interface	Low	Minor	frustration	A contracted external CRO messed up two experimental groups.	Excessively large organization with different people at different sites performing part of the experiment.	Major	financial loss	other	18
R_3EJQO3OBaZ6CZKY	Low	Lost of data that was important for the research	Problems with the PC	Low	Minor	time loss	We coulden't find important data during 3 days, Finally we had them	We melt differents samples	Minor	time loss	clinical psychology	25
R_4Z9S8WkR6ezQJ7H	Very Low	mistakes in associating numbers to cases, miscalculations, wrong organisation of data in experimental conditions, wrongly reporting numbers. Errors corrected as far as I am aware	lack of attention or poor organisation of data	Low	Minor	time loss and frustration	wrong stats	errors in organisation of the data	Minor	time loss and frustration	neurophysiology and physiological psychology	13
R_1K26DA5M0mERwZH	Very Low	Transformation of a variable	Programming error	Very Low	Minor	time loss	Transformation of a variable	Programming error	Minor	time loss	experimental and cognitive psychology	35
R_2yg8jYMAU5WqMfg	Very Low	I took over a project some years ago with useless variable names and no log for what had happened in that data set before my time. I believe that would be a common problem.	Hard to say. Maybe a lack of supervision from more experienced researchers.	Moderate	Moderate	time loss	Problems with filing, I would say. So, not assigning names to data sets and the like in a systematic manner, leading to confusion as to what is what.	Sloppiness and lack of supervision.	Moderate	time loss	personality psychology	5
R_DBlXUQLPEwonUSB	Low	Lost data because of a power failure.	Power failure	Very Low	Moderate	time loss	Loss of data due to a power failure	Power failure	Moderate	time loss	developmental and educational psychology	20
R_3lMoowEYi5yWYMA	Low	An older version with older data was worked on AND submitted to a journal by a co-author, although he did have the most recent version from me.	I am not sure--my co-author probably misfiled the newer and the older versions and then continued working on the wrong, i.e. older, one and submitted it without consulting with me before submission.	Low	Moderate	And of course erroneous conclusion and gime less, as well as frustration, too. We had to pull back our submission, rework it, and resubmit it.	I don't understand your question. Something seems to be missing in your formulation. I just described one serious data- and file-related mistake in my team, and it did happen in the last 5 years--about two and a half years ago.	I described the probable cause earlier.	Moderate	I described this earlier, too.	other	30
R_3hngidIEckW7lKF	Low	Analysing the wrong subset of data (e.g. incorrectly selected participants, left out some participants, etc)	Carelessness; complicated syntax (e.g. multi-stage process of data management	Very Low	Minor	time loss	Data error: realised that the definition of a run-in period in dataset was incorrectly defined (realisation occurred months after data analysis began), resulting in many analyses needing to be re-run (but the paper was not yet submitted, so the error was remedied before publication)	Carelessness coupled with complex/messy data management (multiple data files, that my team had inherited from others; lots of different syntax files merging and cleaning; etc)	Minor	time loss	applied psychology	8
R_1ogVGCkvyaVYrta	Very Low	recode of wrong item within a questionnaire (survey research - item should have been reflected)	misspecification of item within script	Low	Insignificant	there wasn't a negative outcome - the error was caught	NA	NA	NA	NA	applied psychology	15
R_1hLr7MYgQpK05AT	Moderate	decimal point goes to the wrong way.	when we enter the data at the very beginning.	Low	Minor	erroneous conclusion	NA	NA	Minor	erroneous conclusion	applied psychology	17
R_1IhH5uWbd7fWbq1	Very Low	None that I can remember	NA	NA	NA	NA	NA	NA	NA	NA	other	15
R_3dGuyqX1cMJFz7i	Low	Incorrectly defining regressors for functional MRI data analysis.	Lack of knowledge and/or programming mistake.	Low	Moderate	time loss	NA	NA	NA	NA	other	20
R_3foClSs4q55ssEp	Low	Use of old excel template to enter new data, with mixture of old/new data indistinguishable. New lab directive to use only data-wiped templates for each new experiment.	A unique but not uncommon combination of laziness and disrespect for data integrity.	Low	Moderate	Time loss only because the lab has other back-ups for data integrity. But creating a deep sense of unease about whether there is sufficient r spect for data integrity to ferret out other potential problems that may remain undetected by us.	Failure to Aden arely descriptor be an experiment by someone who since left the olab, requiring that a cell lines that already existed needed to be remade because it was simokybinadewuately descrbed/characterized in the first place.	I, the research directir, was insufficient key zealous in trackIn down all details of that particular methods section in a draft manuscript.	Moderate	time loss	other	46
R_10uWnIrva7R5dgS	Low	We applied the wrong precedence when resolving values for one variable which could be specified more than once.	Missing insights into the data retrieval process which changed over time depending on legal setting (using historical data)	Low	Moderate	time loss	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	Major	time loss, frustration	methodology and statistics	4
R_7PVRV8S0OqzQTnz	Low	We scheduled multiple participants for the same data collection session time.	It was due to the incapacity of organization and coordination in the field work.	Very Low	Minor	time loss	No such mistake.	NA	NA	NA	methodology and statistics	10
R_1nZmLTBp6dPXqgm	Low	"""wrong"" calculations"	unsupervised PhD student's data	Low	Minor	erroneous conclusion	uncorrect calculations of some parameters	Especially when the topic of research is new more background research is needed. Reading more literature would have been useful.	Minor	frustration	applied psychology	20
R_Cfzi2YLDaPWFnRT	Very Low	In qualtrics, error in programming randomizer for different conditions, which resulted in datasets that were incomplete and we didn't not use.	Human error in programming	Low	Major	Financial loss, time loss, frustration	This question is inaccurately phrased?	..	NA	NA	social psychology	10
R_3KGCgGY4I8KXp24	Low	'-including participants that weren't supposed to be included in the analysis because of inaccurate records to signify their participation (e.g. including someone who consented and withdrew prior to completing assessments when I was supposed to include people who consented and withdrew prior to participating in the group) -Using an outdated data set because I maintained multiple superseded datasets with similar names in the same folder	inexperience generally. Lack of accurate records of participation and lack of a data management plan that stipulated details of saving/superseding the database	Low	Minor	time loss	I've only just finished my phd so I don't have many examples to draw from... the previously mentioned ones are probably the only ones	-	Minor	time loss	other	2
R_2dlHcPXBYfhftFW	Low	Poor variable names, poor metadata management, differences in test administration between experimenters	Relying on different individuals to do as the find fit. The solution would be that one brain supervises all activities.	Low	Minor	frustration	One experimenter failed to measure a variable twice, as was his instructions.	Disobedience/stupidity?	Major	frustration	experimental and cognitive psychology	28
R_wRyMeFjM4H8I52h	Very Low	Respondent ID is not entirely unique	Human error	Low	Minor	time loss	Wrong data input	Human error	Moderate	time loss	developmental and educational psychology	12
R_3PHKJQqRQle1gb0	Very Low	Unintended data analysis errors	Importing incomplete data into analysis program	Very Low	Minor	Time loss as data were reanalyzed to provide correct information	see above	see above	Minor	see above	other	41
R_3hgej8gmajD0d9j	Low	Merged data incorrectly so that some data were lost	The person merging the data did not know correct method and did not check	Low	Moderate	'+ erroneous conclusions + frustrations	NA	NA	NA	NA	developmental and educational psychology	30
R_2bQpSx7HPHcLyoX	Moderate	'- copy and paste material in the article text to keep structure and then forgot to change some ino - saved an excerpt of data/text without relabelling the file and thereby lost valuable data/text	'- non-native speaker who wants to increase consistency in text	Low	Minor	erroneous conclusion	"in a publication, for the central finding, we wrote ""higher"" instead of ""lower"""	"different versions of the paper where we experimented with different labels (e.g., ""higher sensitivity"" vs. ""lower threshold"")"	Minor	erroneous conclusion	personality psychology	25
R_6hV0lkImqJ9lbCV	Low	Got the coding of a variable wrong so the correlation between it and another variable was backwards (- instead of +)	Carelessness with coding	Low	Moderate	Admitted error in later publication on same issue	"This was long ago, ok, but the folks hired to code data, did such a sloppy job that 10% of the sample of married couples were ""same-sex"" even though only heterosexual couples were interviewed"	Insufficient checking on coding during the process.	Major	Data set had to be thrown out	methodology and statistics	40
R_3qvvLPHkBxw52vg	Very Low	NA	NA	Low	Insignificant	time loss	NA	NA	Minor	time loss	social psychology	18
R_2fiypF20DbX0IU0	Low	Variable names not being descriptive enough and failing to include value labels for all variables.	Lack of communication between data managers and me (PI) in that I failed to make clear that we need to be able to go back into the data in 1 or 5 years and still be able know what's what in the dataset.	Low	Minor	"both time loss and frustration (this should be ""all that apply"" btw"	Not accounting for missing data values. That messed things up quite a bit and it took some sleuthing to figure out the wonky patterns.	Not having been thorough enough in the variable specifications.	Minor	frustration	clinical psychology	25
